0:(0,23599.00,23.60,77424.54,14.66,12.74,23611370.84,23611262.81),),
0.1:(0.5,14021.00,14.02,46000.66,8.71,7.57,47222.74,47222.53),),
0.2:(1,11390.00,11.39,37368.77,7.08,6.15,23611.37,23611.26),),
0.4:(2,8598.00,8.60,28208.66,5.34,4.64,11805.69,11805.63),),
0.6:(3,7010.00,7.01,22998.69,4.36,3.79,7870.46,7870.42),),
0.8:(4,5950.00,5.95,19521.00,3.70,3.21,5902.84,5902.82),),
1:(5,5183.00,5.18,17004.59,3.22,2.80,4722.27,4722.25),),
1.2:(6,4598.00,4.60,15085.30,2.86,2.48,3935.23,3935.21),),
1.4:(7,4135.00,4.14,13566.27,2.57,2.23,3373.05,3373.04),),
1.6:(8,3759.00,3.76,12332.68,2.34,2.03,2951.42,2951.41),),
1.8:(9,3448.00,3.45,11312.34,2.14,1.86,2623.49,2623.47),),
2:(10,3184.00,3.18,10446.19,1.98,1.72,2361.14,2361.13),),
2.4:(12,2764.00,2.76,9068.24,1.72,1.49,1967.61,1967.61),),
2.6:(13,2593.00,2.59,8507.22,1.61,1.40,1816.26,1816.25),),
3:(15,2309.00,2.31,7575.46,1.43,1.25,1574.09,1574.08),),
3.4:(17,2081.00,2.08,6827.43,1.29,1.12,1388.90,1388.90),),
4:(20,1813.00,1.81,5948.16,1.13,0.98,1180.57,1180.56),),
4.6:(23,1607.00,1.61,5272.31,1.00,0.87,1026.58,1026.58),),
5:(25,1493.00,1.49,4898.29,0.93,0.81,944.45,944.45),),
6:(30,1269.00,1.27,4163.39,0.79,0.69,787.05,787.04),),
7:(35,1104.00,1.10,3622.05,0.69,0.60,674.61,674.61),),
8:(40,977.00,0.98,3205.38,0.61,0.53,590.28,590.28),),
9:(45,876.00,0.88,2874.02,0.54,0.47,524.70,524.69),),
10:(50,794.00,0.79,2604.99,0.49,0.43,472.23,472.23),),
11:(55,726.00,0.73,2381.89,0.45,0.39,429.30,429.30),),
12:(60,669.00,0.67,2194.88,0.42,0.36,393.52,393.52),),
13:(65,620.00,0.62,2034.12,0.39,0.33,363.25,363.25),),
14:(70,577.00,0.58,1893.04,0.36,0.31,337.31,337.30),),
15:(75,540.00,0.54,1771.65,0.34,0.29,314.82,314.82),),
16:(80,508.00,0.51,1666.67,0.32,0.27,295.14,295.14),),
17:(85,479.00,0.48,1571.52,0.30,0.26,277.78,277.78),),
18:(90,453.00,0.45,1486.22,0.28,0.24,262.35,262.35),),
19:(95,430.00,0.43,1410.76,0.27,0.23,248.54,248.54),),
20:(100,409.00,0.41,1341.86,0.25,0.22,236.11,236.11)
